Marker,Label,Grans,To_keep
(Nd145)Di,CD4,N,N
(Nd146)Di,CD20,N,N
(Sm147)Di,CD16,C,Y
(Nd148)Di,CD123,N,N
(Sm154)Di,CD69,F,N
(Gd160)Di,CD14,C,Y
(Er168)Di,CCR6,F,Y
(Er170)Di,CCR4,F,Y
(Yb174)Di,CD8a,N,N
(Ir191)Di,Ir191,N,N
(Ir193)Di,Ir193,N,N
beadDist,beadDist,N,N
(Nd144)Di,CD62L,F,Y
(Sm149)Di,IL-10R,F,N
(Nd150)Di,CD138DVS ,N,N
(Eu151)Di,CD56,N,N
(Eu153)Di,CCR2DVS,F,Y
(Gd158)Di,Humira,F,Y
(Dy162)Di,CCR9,F,Y
(Dy164)Di,CD19,N,N
(Ho165)Di,CD45RO,C,Y
(Er166)Di,CD38,C,Y
(Tm169)Di,CD25DVS ,F,Y
(Yb173)Di,CD3,N,N
(Lu175)Di,CD11b,C,Y
(Yb176)Di,CD45,C,
(In115)Di,TNFR2,F,Y
(Gd156)Di,CD103AE,F,Y
(Nd143)Di,CXCR4,F,N
(Sm152)Di,TCRgdDVS ,N,N
(Gd157)Di,IntegrinB7,B,Y
(Tb159)Di,CD33,F,N
(Dy161)Di,CD45RA,N,N
(Dy163)Di,CD161,F,N
(Er167)Di,CD28,N,N
(Yb171)Di,CD66b,C,Y
(Yb172)Di,HLA-DR,B,Y
(Pr141)Di,Remicade,F,N
(Nd142)Di,CD27,F,N
(Ce140)Di,Beads,N,N
(Gd155)Di,CCR7,F,Y
